iter	Passed	Remaining
0	1	176
1	3	186
2	5	178
3	6	164
4	8	161
5	9	155
6	11	154
7	13	150
8	14	147
9	16	144
10	17	138
11	18	136
12	20	134
13	21	131
14	22	128
15	24	126
16	25	124
17	26	121
18	27	118
19	28	115
20	29	112
21	31	110
22	32	107
23	33	107
24	35	106
25	36	104
26	38	102
27	39	101
28	40	98
29	41	97
30	42	95
31	44	93
32	45	92
33	46	90
34	47	88
35	49	87
36	50	85
37	51	84
38	53	83
39	54	81
40	55	79
41	55	77
42	57	75
43	58	74
44	59	72
45	60	71
46	62	70
47	64	70
48	65	68
49	66	66
50	67	65
51	68	63
52	69	61
53	71	60
54	71	58
55	72	57
56	74	55
57	75	54
58	76	53
59	78	52
60	80	51
61	81	49
62	82	48
63	83	46
64	84	45
65	85	44
66	87	43
67	89	42
68	90	40
69	91	39
70	92	37
71	95	37
72	97	36
73	98	34
74	99	33
75	101	31
76	102	30
77	103	29
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	111	21
84	113	19
85	114	18
86	115	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	122	9
93	124	7
94	125	6
95	127	5
96	128	3
97	129	2
98	130	1
99	131	0
